1428 Askvoll;3052;3038;-0,5;
1429 Fjaler;2846;2770;-2,7;
1430 Gaular;3006;3027;0,7;
1431 Jølster;3043;3047;0,1;
1432 Førde;13089;13092;0,0;
1433 Naustdal;2825;2793;-1,1;
1438 Bremanger;3767;3705;-1,6;
1439 Vågsøy;6001;5970;-0,5;
1441 Selje;2757;2747;-0,4;
1443 Eid;6157;6151;-0,1;
1444 Hornindal;1175;1152;-2,0;
1445 Gloppen;5874;5836;-0,6;
1449 Stryn;7195;7167;-0,4;
1502 Molde;26900;27001;0,4;
1504 Ålesund;47510;47998;1,0;
1505 Kristiansund;24300;24274;-0,1;
1511 Vanylven;3187;3163;-0,8;
1514 Sande (Møre og Romsdal);2522;2493;-1,1;
1515 Herøy (Møre og Romsdal);8965;8927;-0,4;
1516 Ulstein;8555;8609;0,6;
1517 Hareid;5150;5155;0,1;
1519 Volda;9188;9197;0,1;
1520 Ørsta;10812;10857;0,4;
1523 Ørskog;2267;2250;-0,7;
1524 Norddal;1670;1645;-1,5;
1525 Stranda;4587;4565;-0,5;
1526 Stordal;972;947;-2,6;
1528 Sykkylven;7695;7657;-0,5;
1529 Skodje;4680;4764;1,8;
1531 Sula;9131;9271;1,5;
1532 Giske;8292;8398;1,3;
1534 Haram;9345;9383;0,4;
1535 Vestnes;6559;6536;-0,4;
1539 Rauma;7507;7487;-0,3;
1543 Nesset;2946;2956;0,3;
1545 Midsund;2049;2019;-1,5;
1546 Sandøy;1263;1238;-2,0;
1547 Aukra;3557;3539;-0,5;
1548 Fræna;9775;9800;0,3;
1551 Eide;3440;3433;-0,2;
1554 Averøy;5859;5849;-0,2;
1557 Gjemnes;2623;2641;0,7;
1560 Tingvoll;3078;3045;-1,1;
1563 Sunndal;7119;7106;-0,2;
1566 Surnadal;5978;5928;-0,8;
1571 Halsa;1571;1574;0,2;
1573 Smøla;2172;2134;-1,7;
1576 Aure;3593;3553;-1,1;
5001 Trondheim;193501;196159;1,4;
5004 Steinkjer;22096;22090;0,0;
5005 Namsos;13078;13113;0,3;
5011 Hemne;4225;4228;0,1;
5012 Snillfjord;987;999;1,2;
5013 Hitra;4648;4694;1,0;
5014 Frøya;4962;5068;2,1;
5015 Ørland;5351;5334;-0,3;
5016 Agdenes;1684;1693;0,5;
5017 Bjugn;4864;4904;0,8;
5018 Åfjord;3277;3340;1,9;
5019 Roan;953;957;0,4;
5020 Osen;967;947;-2,1;
5021 Oppdal;6970;6975;0,1;
5022 Rennebu;2541;2501;-1,6;
5023 Meldal;3930;3905;-0,6;
5024 Orkdal;11933;12086;1,3;
5025 Røros;5663;5610;-0,9;
5026 Holtålen;2028;2025;-0,1;
5027 Midtre Gauldal;6225;6246;0,3;
5028 Melhus;16424;16562;0,8;
5029 Skaun;8142;8231;1,1;
5030 Klæbu;6094;6076;-0,3;
5031 Malvik;13958;14040;0,6;
5032 Selbu;4093;4088;-0,1;
5033 Tydal;834;794;-4,8;
5034 Meråker;2469;2432;-1,5;
5035 Stjørdal;23964;24028;0,3;
5036 Frosta;2616;2632;0,6;
5037 Levanger;20115;20254;0,7;
5038 Verdal;14943;14933;-0,1;
5039 Verran;2473;2449;-1,0;
5040 Namdalseid;1585;1576;-0,6;
5041 Snåase - Snåsa;2094;2100;0,3;
5042 Lierne;1379;1386;0,5;
5043 Raarvihke - Røyrvik;474;482;1,7;
5044 Namsskogan;902;871;-3,4;
5045 Grong;2400;2374;-1,1;
5046 Høylandet;1268;1254;-1,1;
5047 Overhalla;3845;3879;0,9;
5048 Fosnes;618;605;-2,1;
5049 Flatanger;1105;1103;-0,2;
5050 Vikna;4492;4578;1,9;
5051 Nærøy;5117;5072;-0,9;
5052 Leka;582;567;-2,6;
5053 Inderøy;6785;6804;0,3;
5054 Indre Fosen;10090;9988;-1,0;
5061 Rindal;2039;2028;-0,5;
1804 Bodø;51558;52024;0,9;
1805 Narvik;18638;18630;0,0;
1811 Bindal;1486;1450;-2,4;
1812 Sømna;2020;2014;-0,3;
1813 Brønnøy;7948;7916;-0,4;
1815 Vega;1221;1232;0,9;
1816 Vevelstad;506;497;-1,8;
1818 Herøy (Nordland);1790;1780;-0,6;
1820 Alstahaug;7450;7415;-0,5;
1822 Leirfjord;2307;2320;0,6;
1824 Vefsn;13448;13403;-0,3;
1825 Grane;1463;1493;2,1;
1826 Hattfjelldal;1411;1359;-3,7;
1827 Dønna;1403;1391;-0,9;
1828 Nesna;1805;1792;-0,7;
1832 Hemnes;4503;4501;0,0;
1833 Rana;26230;26315;0,3;
1834 Lurøy;1920;1904;-0,8;
1835 Træna;454;456;0,4;
1836 Rødøy;1249;1238;-0,9;
1837 Meløy;6346;6331;-0,2;
1838 Gildeskål;1998;1978;-1,0;
1839 Beiarn;1029;1022;-0,7;
1840 Saltdal;4691;4657;-0,7;
1841 Fauske - Fuosko;9775;9760;-0,2;
1845 Sørfold;1979;1975;-0,2;
1848 Steigen;2534;2576;1,7;
1849 Hamarøy - Hábmer;1801;1747;-3,0;
1850 Divtasvuodna - Tysfjord;1953;1925;-1,4;
1851 Lødingen;2102;2077;-1,2;
1852 Tjeldsund;1259;1259;0,0;
1853 Evenes;1387;1387;0,0;
1854 Ballangen;2522;2470;-2,1;
1856 Røst;517;508;-1,7;
1857 Værøy;746;732;-1,9;
1859 Flakstad;1301;1292;-0,7;
1860 Vestvågøy;11397;11480;0,7;
1865 Vågan;9611;9595;-0,2;
1866 Hadsel;8042;8091;0,6;
1867 Bø (Nordland);2623;2616;-0,3;
1868 Øksnes;4541;4449;-2,0;
1870 Sortland - Suortá;10401;10518;1,1;
1871 Andøy;4902;4771;-2,7;
1874 Moskenes;1068;1039;-2,7;
1902 Tromsø;75638;76649;1,3;
1903 Harstad - Hárstták;24820;24827;0,0;
1911 Kvæfjord;2928;2858;-2,4;
1913 Skånland;2994;3009;0,5;
1917 Ibestad;1380;1375;-0,4;
1919 Gratangen;1117;1105;-1,1;
1920 Loabák - Lavangen;1061;1042;-1,8;
1922 Bardu;3979;4030;1,3;
1923 Salangen;2226;2183;-1,9;
1924 Målselv;6798;6805;0,1;
1925 Sørreisa;3494;3489;-0,1;
1926 Dyrøy;1165;1129;-3,1;
1927 Tranøy;1536;1513;-1,5;
1928 Torsken;943;931;-1,3;
1929 Berg;902;888;-1,6;
1931 Lenvik;11644;11679;0,3;
1933 Balsfjord;5653;5625;-0,5;
1936 Karlsøy;2263;2252;-0,5;
1938 Lyngen;2877;2847;-1,0;
1939 Storfjord - Omasvuotna - Omasvuono;1856;1841;-0,8;
1940 Gáivuotna - Kåfjord - Kaivuono;2132;2097;-1,6;
1941 Skjervøy;2925;2917;-0,3;
1942 Nordreisa;4944;4909;-0,7;
1943 Kvænangen;1224;1202;-1,8;
2002 Vardø;2110;2081;-1,4;
2003 Vadsø;6033;5894;-2,3;
2004 Hammerfest;10533;10536;0,0;
2011 Guovdageaidnu - Kautokeino;2946;2924;-0,7;
2012 Alta;20635;20665;0,1;
2014 Loppa;941;917;-2,6;
2015 Hasvik;1022;1045;2,3;
2017 Kvalsund;1027;988;-3,8;
2018 Måsøy;1231;1235;0,3;
2019 Nordkapp;3239;3218;-0,6;
2020 Porsanger - Porsángu - Porsanki;3964;3944;-0,5;
2021 Kárásjohka - Karasjok;2701;2673;-1,0;
2022 Lebesby;1349;1328;-1,6;
2023 Gamvik;1153;1169;1,4;
2024 Berlevåg;983;981;-0,2;
2025 Deatnu - Tana;2922;2900;-0,8;
2027 Unjárga - Nesseby;944;941;-0,3;
2028 Båtsfjord;2263;2270;0,3;
2030 Sør-Varanger;10171;10156;-0,1;
